CSV Line for;VREG-T220-X-KLD1117-V5;TO-220 LD1117 Voltage Regulator 5v
OOMP Type;OOMP Size;OOMP Color;OOMP Description;OOMP Index;Full OOMP ID;Hex ID (short code);name;description;code;collection;gitRepo;gitName;eagleBoard;eagleSchem;kicadBoard;kicadSchem;Part Number (Manufacturer);Part Number (Distributor);Part Number (OPL);Footprint Kicad;Footprint Kicad;Footprint Eagle;Footprint Kicad;Symbol Kicad;Symbol Kicad Details;Symbol Eagle;Symbol Eagle Details;OOMP Parts List;OOMP Instances;Parts as pulled from a BOM;
"VREG";"T220";"X";"KLD1117";"V5";"VREG-T220-X-KLD1117-V5";"VR11172205";"TO-220 LD1117 Voltage Regulator 5v";;;;;;;;;;;;;;;;;;;;;;;;
