CSV Line for;VREG-SO8-X-KLD1117-V5;SO-8 LD1117 Voltage Regulator 5v
OOMP Type;OOMP Size;OOMP Color;OOMP Description;OOMP Index;Full OOMP ID;Hex ID (short code);name;description;code;collection;gitRepo;gitName;eagleBoard;eagleSchem;kicadBoard;kicadSchem;Part Number (Manufacturer);Part Number (Distributor);Part Number (OPL);Footprint Kicad;Footprint Kicad;Symbol Kicad;Symbol Kicad Details;Symbol Eagle;Symbol Eagle Details;OOMP Parts List;OOMP Instances;Parts as pulled from a BOM;
"VREG";"SO8";"X";"KLD1117";"V5";"VREG-SO8-X-KLD1117-V5";"VR111785";"SO-8 LD1117 Voltage Regulator 5v";;;;;;;;;;;;;;;;;;;;;;
