CSV Line for;VREG-SO223-X-KLD1117-V18D;SMD (SOT-223) LD1117 Voltage Regulator 1.8 v
OOMP Type;OOMP Size;OOMP Color;OOMP Description;OOMP Index;Full OOMP ID;Hex ID (short code);name;description;code;collection;gitRepo;gitName;eagleBoard;eagleSchem;kicadBoard;kicadSchem;Part Number (Manufacturer);Part Number (Distributor);Part Number (OPL);Footprint Kicad;Footprint Kicad;Footprint Eagle;Footprint Kicad;Symbol Kicad;Symbol Kicad Details;Symbol Eagle;Symbol Eagle Details;OOMP Parts List;OOMP Instances;Parts as pulled from a BOM;
"VREG";"SO223";"X";"KLD1117";"V18D";"VREG-SO223-X-KLD1117-V18D";"VR111722318";"SMD (SOT-223) LD1117 Voltage Regulator 1.8 v";;;;;;;;;;;;;;;;;;;;;;;;
