CSV Line for;VREG-SO235-X-KMIC5225-VADJ;SMD (SOT-23-5) MIC5225 Voltage Regulator Adjustable Voltage
OOMP Type;OOMP Size;OOMP Color;OOMP Description;OOMP Index;Full OOMP ID;Hex ID (short code);name;description;code;collection;gitRepo;gitName;eagleBoard;eagleSchem;kicadBoard;kicadSchem;Part Number (Manufacturer);Part Number (Distributor);Part Number (OPL);Footprint Kicad;Footprint Kicad;Symbol Kicad;Symbol Kicad Details;Symbol Eagle;Symbol Eagle Details;OOMP Parts List;OOMP Instances;Parts as pulled from a BOM;
"VREG";"SO235";"X";"KMIC5225";"VADJ";"VREG-SO235-X-KMIC5225-VADJ";"VR5225235AJ";"SMD (SOT-23-5) MIC5225 Voltage Regulator Adjustable Voltage";;;;;;;;;;;;;;;;;;;;;;
